"","SGEN","AK_503","AK_105","AK_110","AK_205","AK_206","AK_207","AK_211","Weight","prespref","no_impeach","mythPID3","faction","IDEO5","ideoparty","pop401","pop402","pop403","pop406","popscale","POP_antielite","POP_antiexpert","POP_nationalID","over50","male2","white","collplus","SEN_R1","SEN_R2","SEN_R3","SEN_Order1","SEN_Order2","h2h_MT","h2h_MC","h2h_CT","HousePref","murkpelt","votestrategy","exp_confidence","exp_easy","exp_benefit","exp_AKsystem","primpref1","primpref2","primpref3","ruleorder"
"280","M",1,1,9,1,1,9,9,0.442,0,0,1,3,3,2,-2,-2,-2,2,-4,0,0,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,NA,1,1,1,3,1,1,1,3
"281","F",2,1,4,1,2,2,3,0.78523,0,0,1,2,1,1,-1,0,0,1,0,0.375,0.5,0.75,1,0,1,0,3,3,1,3,1,1,2,1,1,0,3,1,2,2,2,1,2,3,4
"282","M",1,1,1,1,2,2,3,4.43764,0,0,1,1,1,1,1,1,-2,-1,-1,0.75,0,0.25,0,1,0,1,3,3,1,3,1,1,2,1,1,0,3,1,3,2,1,2,1,2,1
"283","F",2,2,9,1,1,1,1,2.40525,1,0,3,3,4,5,0,0,-1,2,1,0.5,0.25,1,0,0,1,0,1,1,1,1,4,1,1,2,2,0,1,1,1,2,2,1,1,1,3
"284","M",2,1,5,1,1,2,3,0.90521,0,1,1,2,3,2,1,0,-1,-1,-1,0.625,0.25,0.25,1,0,1,0,1,1,1,1,3,1,1,1,1,1,3,1,1,2,2,2,1,3,NA
"285","F",2,2,12,2,1,1,9,0.40297,1,1,3,4,5,5,1,0,1,2,4,0.625,0.75,1,1,0,1,1,4,5,5,4,5,2,1,2,2,0,NA,2,3,3,3,1,2,3,4
"286","M",1,2,12,2,9,1,2,1.03123,1,1,3,4,4,5,1,1,1,2,5,0.75,0.75,1,1,1,0,0,2,2,2,2,5,2,3,2,2,0,2,3,1,3,3,2,1,1,2
"287","F",2,1,9,1,1,9,1,1.66096,0,0,3,3,3,4,1,-1,2,2,4,0.5,1,1,1,0,0,0,1,1,1,1,5,1,1,3,2,0,1,3,1,2,2,2,1,1,2
"288","M",1,1,9,1,1,2,3,0.442,0,0,1,3,2,1,-2,-1,-1,1,-3,0.125,0.25,0.75,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"289","M",2,2,10,2,9,1,1,1.09724,1,1,3,5,3,4,1,1,1,2,5,0.75,0.75,1,1,0,1,0,2,2,2,2,5,2,3,2,3,0,1,1,1,2,3,1,1,1,3
